Player,Name_abbreviation,Team,Opponent,Home Team,Away Team,Over Line,Over Odds,Under Line,Under Odds,API Projected Value,API Recommended Side,Streak,Streak Type,Probability,Bet Rating,Diff
Matthew Boyd,boydma,CHC,N/A,N/A,N/A,3.5,1.61,4.5,1.96,5.08,over,1,over,0.57343005389012,2,1.58
Bailey Ober,oberba,MIN,N/A,N/A,N/A,4.5,1.97,5,1.73,5.79,over,2,under,,,1.29
Taj Bradley,bradlta,TBR,N/A,N/A,N/A,6.5,1.81,7,1.73,5.73,under,2,over,,,-1.27
Tanner Bibee,bibeeta,CLE,N/A,N/A,N/A,4.5,1.83,4.5,2.07,5.67,over,1,under,,,1.17
Aaron Nola,nolaaa,PHI,N/A,N/A,N/A,5,1.73,5.5,2.0,5.93,over,6,over,,,0.93
Robbie Ray,rayro,SFG,N/A,N/A,N/A,6,1.73,6.5,1.97,5.69,under,2,under,,,-0.81
Richard Fitts,fittsri,BOS,N/A,N/A,N/A,3,1.73,3.5,1.87,3.74,over,1,over,,,0.74
Andrew Heaney,heanean,PIT,N/A,N/A,N/A,4,1.73,4.5,1.61,4.74,over,4,under,,,0.74
Tomoyuki Sugano,suganto,BAL,N/A,N/A,N/A,2.5,1.79,3.5,1.96,3.24,over,2,under,,,0.74
Jack Kochanowicz,kochaja,LAA,N/A,N/A,N/A,2.5,1.63,3,1.73,3.15,over,1,over,,,0.65
Nick Pivetta,pivetni,SDP,N/A,N/A,N/A,5.5,1.77,6.5,1.51,6.13,over,1,under,,,0.63
Ryan Feltner,feltnry,COL,N/A,N/A,N/A,4,1.73,4.5,1.72,4.61,over,1,over,,,0.61
Max Meyer,meyerma,MIA,N/A,N/A,N/A,4,1.73,4.5,1.63,4.6,over,3,over,,,0.6
JP Sears,searsjp,ATH,N/A,N/A,N/A,4,1.73,4.5,1.67,4.51,over,1,over,,,0.51
Bryan Woo,woobr,SEA,N/A,N/A,N/A,5.5,2.06,5.5,1.8,5.02,under,1,under,,,-0.48
Andre Pallante,pallaan,STL,N/A,N/A,N/A,3.5,1.83,3.5,2.08,3.95,over,1,under,,,0.45
Davis Martin,martida,CHW,N/A,N/A,N/A,4,1.73,4.5,1.85,4.09,under,5,under,,,-0.41
Eduardo Rodriguez,rodried,ARI,N/A,N/A,N/A,4.5,2.07,4.5,1.83,4.89,over,1,over,,,0.39
Marcus Stroman,stromma,NYY,N/A,N/A,N/A,3.5,1.75,4,1.73,3.86,over,3,under,,,0.36
Michael Wacha,wachami,KCR,N/A,N/A,N/A,4.5,1.77,4.5,2.15,4.85,over,4,under,,,0.35
Aaron Civale,civalaa,MIL,N/A,N/A,N/A,4.5,1.94,4.5,2.0,4.82,over,2,under,,,0.32
Chris Bassitt,bassich,TOR,N/A,N/A,N/A,4.5,1.42,5.5,1.88,5.19,under,1,over,,,-0.31
Nick Martinez,martini,CIN,N/A,N/A,N/A,4.5,2.1,4.5,1.93,4.75,over,1,over,,,0.25
Mitchell Parker,parkemi,WSN,N/A,N/A,N/A,4.5,1.98,4.5,2.0,4.65,over,2,over,,,0.15
